"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 15 10:38:07 CEST 2021","Thu Jul 15 10:38:12 CEST 2021","4965","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","should copy the url of edit Antrag Beratungsleistung","should copy the url of edit Antrag Beratungsleistung",""
"broken","Thu Jul 15 10:38:22 CEST 2021","Thu Jul 15 10:38:32 CEST 2021","10222","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","should login to origin Antrag creator","should login to origin Antrag creator",""
"passed","Thu Jul 15 10:38:22 CEST 2021","Thu Jul 15 10:38:22 CEST 2021","172","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","Test the add page from another user","Test the add page from another user",""
"passed","Thu Jul 15 10:38:18 CEST 2021","Thu Jul 15 10:38:22 CEST 2021","3298","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","Test the edit page from another user","Test the edit page from another user",""
"passed","Thu Jul 15 10:38:12 CEST 2021","Thu Jul 15 10:38:14 CEST 2021","2262","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","should logout","should logout",""
"passed","Thu Jul 15 10:37:43 CEST 2021","Thu Jul 15 10:38:04 CEST 2021","21151","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","should create a new Antrag Beratungsleistung","should create a new Antrag Beratungsleistung",""
"passed","Thu Jul 15 10:38:22 CEST 2021","Thu Jul 15 10:38:22 CEST 2021","251","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","Test the details page from another user","Test the details page from another user",""
"passed","Thu Jul 15 10:38:04 CEST 2021","Thu Jul 15 10:38:07 CEST 2021","3018","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","should copy the url of details Antrag Beratungsleistung","should copy the url of details Antrag Beratungsleistung",""
"passed","Thu Jul 15 10:38:14 CEST 2021","Thu Jul 15 10:38:18 CEST 2021","3909","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","should login to another user account","should login to another user account",""
"broken","Thu Jul 15 10:38:32 CEST 2021","Thu Jul 15 10:38:45 CEST 2021","13264","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","","Zugriffsrecht zu Allgemeine Angabe von anderen Nutzer  ","should remove the antrag","should remove the antrag",""
